date,cpi_yoy_northeast,cpi_index_northeast,cpi_yoy_midwest,cpi_index_midwest,cpi_yoy_south,cpi_index_south,cpi_yoy_west,cpi_index_west,hpi_yoy_northeast,hpi_index_northeast,hpi_yoy_midwest,hpi_index_midwest,hpi_yoy_south,hpi_index_south,hpi_yoy_west,hpi_index_west,hpi_yoy_national,hpi_index_national,real_wage_northeast,real_wage_midwest,real_wage_south,real_wage_west,real_wage_yoy_northeast,real_wage_yoy_midwest,real_wage_yoy_south,real_wage_yoy_west,nominal_wage,debt_delinquency_rate,debt_4q_avg,debt_yoy_chg,sentiment,sentiment_12m_avg,sentiment_yoy_chg
2023-07-01,3.2297490573397702,113.75639390769847,3.2029540084938635,117.34001878738938,3.6896166041298306,118.24305612437934,3.4322581444858002,116.72716717724903,4.0034211975434,125.64027314728874,4.378627309401062,123.35428603040704,-3.4921037410071243,135.79334136569622,0.19522975658647912,126.29606348755664,1.0495711394307605,127.92685267875771,29.75656913620677,28.847788120209408,28.62747387414728,28.999247406217883,1.3943570910811998,1.4206825657447242,0.9446691109254557,1.1958379920628426,33.85,2.94,2.7975,0.46999999999999975,71.5,62.116666666666674,20.0
2023-08-01,3.617870352345709,114.39936669866604,2.887709837348873,116.96633102061669,4.2544681316577515,118.95021784325428,4.051166094397973,117.31573572817436,5.1132648203856546,126.99049055412388,4.931037691211282,123.78989500165365,-1.725952980093859,136.3414577514125,3.1509052403289495,128.04146010426095,2.6871649761871508,129.02982147179355,29.624289869775282,28.974149829515035,28.49091041149524,28.88785531595233,0.8221748111610028,1.5376768978494493,0.20653527320717568,0.40232541696496593,33.89,2.94,2.8449999999999998,0.18999999999999995,69.4,63.050000000000004,11.200000000000003
2023-09-01,3.6463373193740933,114.7185247804221,2.799782962561048,117.08746024159925,4.459516194546187,119.36874212585371,3.9805468269637823,117.68992963755649,6.662474083410097,128.328336115336,5.943130963322862,124.81284026407286,0.27578592096768606,137.21997901214607,5.287098741987539,129.26311029196677,4.082123908006796,129.9187066511981,29.646476072715462,29.046663007143106,28.491545939340075,28.897969524443436,0.7476474775362396,1.5773025356781156,-0.03663586625634041,0.4238290068532935,34.01,2.94,2.8925,0.18999999999999995,67.8,63.81666666666666,9.199999999999996
2023-10-01,3.322583040363636,114.64294413479861,2.75416451224495,117.0833402000692,3.9347650221959407,119.26732897256773,3.3652488798870728,117.79274553415308,7.6023052305458805,129.2862062806336,6.814380410838483,125.88710534459683,1.314039829134761,137.83876333299455,6.368643470576707,130.2366315140028,4.849069044343812,130.73164013921695,29.7270802465857,29.107471602505456,28.574464015907175,28.932172219484237,0.8687359718099863,1.4267246305319947,0.27461308444929333,0.8271006122617441,34.08,3.1,2.98,0.3500000000000001,63.8,64.14166666666667,3.8999999999999986
2023-11-01,3.0035785262656045,114.54873697935322,2.945236330877754,116.76197696072774,3.859973238967851,119.28683150204581,3.4262515913651814,117.33671856421448,8.037394311905066,129.92120275366548,7.016527245012005,126.43613598570617,1.8213031794841683,137.98302178247357,7.453504368687058,131.00113105485445,5.241468039910746,131.08343835810805,29.830097564636578,29.264663796753712,28.64524069399393,29.12131890010193,1.077406251934443,1.1346898912268255,0.24395565890713566,0.6643322358556469,34.17,3.1,3.02,0.16000000000000014,61.3,64.525,4.599999999999994
2023-12-01,3.0981887511916106,114.66909288897168,3.327155043454799,116.67834011766838,4.160254402331565,119.32700671277065,3.707140250276808,117.26187978233807,8.454473936018037,130.4663867575763,8.124443918061175,127.3007289228582,2.1946448124303686,137.6055032760894,8.42658754314376,131.63248204633027,5.748381116156609,131.39267024446428,29.903437043145782,29.388488013644213,28.736160358516898,29.242239731828644,0.9701158833738788,0.7463726374335788,-0.05942165459272841,0.3772357472366705,34.29,3.1,3.06,0.16000000000000014,69.7,65.35000000000001,9.900000000000006
2024-01-01,3.0827759357571427,115.5964781568352,2.9462713178856514,117.038843751545,3.8804777639347865,119.68234279986115,2.9810256707918814,117.88681858239963,8.544797896550227,130.80925062545023,8.237327815517537,127.61837577720019,2.9668833068800415,138.03492958019027,8.611429661034098,131.7917291896834,6.219604888778285,131.79997162244496,29.819247566723377,29.451760539581514,28.801241013173076,29.239910292350814,1.2693702373552496,1.4036513192183575,0.49171919535375697,1.3694293034540506,34.47,3.17,3.1175,0.22999999999999998,79.0,66.52499999999999,14.099999999999994
2024-02-01,2.870307449017817,116.04064877566516,3.183803096466864,117.79693139306843,4.0925919076233,120.74484060582658,3.2157628991170695,118.60023500776367,9.61781796043426,132.15476114141862,9.233524237123337,128.91638700837282,3.5569977556620946,138.30950402913157,8.663883159527508,132.1760807462089,6.527210712905562,132.29324029946667,29.748196312428046,29.30466828954364,28.589213275531236,29.106181786014417,1.2271982045847452,0.919647163740378,0.03856000386204261,0.8883983320087774,34.52,3.17,3.135,0.06999999999999984,76.9,67.35833333333333,10.0
2024-03-01,3.457778173311632,116.59586204920262,3.30677490838418,118.70004449644851,3.9315112938130836,121.19768934030743,3.569564478539511,119.35701596094394,9.741017977120281,133.0940681596301,8.866724714293817,129.76397420089978,3.698655226827041,138.41949256340874,8.82444600033021,132.79182230686735,6.520086916635703,132.76981629706293,29.718035778472093,29.191227473412383,28.589653968325486,29.03055151055233,0.6670381026186556,0.8141828705929832,0.20818486842315576,0.5583845970797974,34.65,3.17,3.1525,0.06999999999999984,79.4,68.80833333333334,17.400000000000006
2024-04-01,3.781404521679499,117.05686816729471,3.1898642224572615,119.39262347764466,3.605224133688889,121.5401537579424,3.693072056408764,120.1375774616364,9.76289781037789,133.9926221837205,8.81897845994295,130.76259837177847,3.395860354177871,138.28032862834868,8.346856514980994,133.20694426746172,6.345566768426791,133.16251158054635,29.694968389485602,29.11402646789861,28.59960179845379,28.933495026649698,0.1898778862148065,0.7642206357709291,0.3602504876576207,0.27522610411738757,34.76,3.22,3.1825,0.1200000000000001,77.2,69.93333333333334,13.5
