date,hpi_yoy_northeast,hpi_index_northeast,hpi_yoy_midwest,hpi_index_midwest,hpi_yoy_south,hpi_index_south,hpi_yoy_west,hpi_index_west,hpi_yoy_national,hpi_index_national
2024-07-01,8.833233145033038,136.73837139844508,6.703992284493099,131.62394784847706,1.8194936633228131,138.2640926070594,7.03766161256838,135.18435306580542,4.922262890398188,134.22374867501856
2024-08-01,8.173599419695998,137.37018455312483,7.137711570690364,132.62566066053213,1.539118079868751,138.43991377802107,5.7000544302654665,135.3398930235105,4.305133753141277,134.58472786759364
2024-09-01,7.744539148047358,138.26677434382597,6.910252857604338,133.43772312507812,1.0670363953950046,138.68416612995907,4.625262383575501,135.24186830814085,3.9210584641476975,135.01289509485613
2024-10-01,7.5338431041855,139.02642621717013,6.234591836268688,133.73565253732605,0.907224917206717,139.08927093952107,3.9856372168537435,135.42739116960155,3.5982085569179034,135.43563720130535
2024-11-01,7.569685824346695,139.7558296213304,6.235570879939489,134.3201508629516,1.0243919974095794,139.39650881539717,3.8364508883110826,136.02692511090598,3.769380153449431,136.0244714680377
2024-12-01,7.619724277094053,140.40756570279075,6.59306350068849,135.69374681758154,1.6293102980082796,139.84752391159282,3.428516094981182,136.14552287951193,4.036512509091605,136.69635181491157
2025-01-01,8.209350299592511,141.54784023356538,7.485943612680335,137.1718154272999,1.322202761633351,139.8600312311182,3.9917031403668313,137.05246378249177,4.171270980631792,137.29770559121297
2025-02-01,7.968952174105026,142.686110852581,6.87948739573625,137.78517360365242,0.8769674585000997,139.52243337147993,4.4113849155390294,138.00687643419784,3.963294417508645,137.53641090699674
2025-03-01,8.237140698489686,144.05721381528258,6.394708404009242,138.0620019645011,0.21570989292041265,138.71807710259824,4.060128416632147,138.18334081931215,3.434532659020384,137.32983899910693
2025-04-01,8.088292648959271,144.83033759395414,5.8996078400629814,138.47707887719,-0.24037767151737777,137.94793359422525,2.505050216451399,136.54384511316204,2.82050317776692,136.9183644512699
2025-05-01,7.592074842429741,145.61813328394828,5.931484910140528,138.5565594625514,-0.6576162103450023,137.1963128997855,0.9640406891087805,135.45267917908274,2.3467311713029515,136.6654703579745
